Time;Channel A;Channel B
(ms);(V);(V)

-14,37947140;-0,00030519;1,99514800
-14,33851140;-0,00030519;1,99514800
-14,29755140;-0,00030519;1,99514800
-14,25659140;-0,00030519;1,95074300
-14,21563140;-0,00030519;1,95074300
-14,17467140;-0,00030519;1,95074300
-14,13371140;-0,00030519;1,95074300
-14,09275140;-0,00030519;1,95074300
-14,05179140;-0,00030519;1,95074300
-14,01083140;-0,00030519;1,99514800
-13,96987140;-0,00030519;1,99514800
-13,92891140;-0,00030519;1,95074300
-13,88795141;-0,00030519;1,95074300
-13,84699141;-0,00030519;1,95074300
-13,80603141;-0,00030519;1,95074300
-13,76507141;-0,00030519;1,95074300
-13,72411141;-0,00030519;1,95074300
-13,68315141;0,08972442;1,95074300
-13,64219141;-0,00030519;1,95074300
-13,60123141;-0,00030519;1,95074300
-13,56027141;-0,00030519;1,95074300
-13,51931141;-0,00030519;1,95074300
-13,47835141;-0,00030519;1,99514800
-13,43739141;-0,00030519;1,95074300
-13,39643141;-0,00030519;1,95074300
-13,35547141;-0,00030519;1,95074300
-13,31451141;-0,00030519;1,99514800
-13,27355141;-0,00030519;1,95074300
-13,23259141;-0,00030519;1,99514800
-13,19163141;-0,00030519;1,95074300
-13,15067141;-0,00030519;1,99514800
-13,10971141;-0,00030519;1,95074300
-13,06875141;-0,00030519;1,95074300
-13,02779141;-0,00030519;1,95074300
-12,98683141;-0,00030519;1,99514800
-12,94587141;-0,00030519;1,95074300
-12,90491141;-0,00030519;1,95074300
-12,86395141;-0,00030519;1,95074300
-12,82299141;-0,00030519;1,95074300
-12,78203141;-0,00030519;1,95074300
-12,74107141;-0,00030519;1,99514800
-12,70011141;-0,00030519;1,95074300
-12,65915141;-0,00030519;1,95074300
-12,61819141;-0,00030519;1,95074300
-12,57723141;-0,00030519;1,95074300
-12,53627141;-0,00030519;1,95074300
-12,49531141;-0,00030519;1,95074300
-12,45435141;-0,00030519;1,99514800
-12,41339141;-0,00030519;1,95074300
-12,37243141;-0,00030519;1,95074300
-12,33147141;-0,00030519;1,95074300
-12,29051141;-0,00030519;1,99514800
-12,24955142;-0,00030519;1,95074300
-12,20859142;0,08972442;1,95074300
-12,16763142;-0,00030519;1,95074300
-12,12667142;-0,00030519;1,95074300
-12,08571142;-0,00030519;1,95074300
-12,04475142;-0,00030519;1,95074300
-12,00379142;-0,00030519;1,95074300
-11,96283142;-0,00030519;1,95074300
-11,92187142;-0,00030519;1,95074300
-11,88091142;-0,00030519;1,95074300
-11,83995142;-0,00030519;1,95074300
-11,79899142;-0,00030519;1,95074300
-11,75803142;-0,00030519;1,95074300
-11,71707142;-0,00030519;1,95074300
-11,67611142;-0,00030519;1,95074300
-11,63515142;-0,00030519;1,99514800
-11,59419142;-0,00030519;1,95074300
-11,55323142;-0,00030519;1,95074300
