Time;Channel A;Channel B
(ms);(V);(V)

-13,20590486;2,83883200;1,95074300
-13,16494486;2,56843800;1,95074300
-13,12398486;2,65846700;1,95074300
-13,08302486;2,65846700;1,99514800
-13,04206486;2,61345300;1,95074300
-13,00110486;2,38807300;1,95074300
-12,96014486;2,38807300;1,95074300
-12,91918486;2,38807300;1,95074300
-12,87822486;2,29804400;1,95074300
-12,83726486;2,29804400;1,95074300
-12,79630486;2,47825600;1,95074300
-12,75534486;2,34305900;1,99514800
-12,71438486;2,34305900;1,95074300
-12,67342486;2,52327000;1,95074300
-12,63246486;2,56843800;1,95074300
-12,59150486;2,56843800;1,95074300
-12,55054486;2,56843800;1,95074300
-12,50958486;2,70363500;1,95074300
-12,46862486;2,65846700;1,95074300
-12,42766486;2,65846700;1,95074300
-12,38670486;2,61345300;1,95074300
-12,34574486;2,52327000;1,95074300
-12,30478486;2,38807300;1,95074300
-12,26382486;2,38807300;1,95074300
-12,22286487;2,38807300;1,99514800
-12,18190487;2,38807300;1,95074300
-12,14094487;2,34305900;1,95074300
-12,09998487;2,47825600;1,99514800
-12,05902487;2,52327000;1,95074300
-12,01806487;2,65846700;1,95074300
-11,97710487;2,65846700;1,95074300
-11,93614487;2,56843800;1,95074300
-11,89518487;2,74865000;1,99514800
-11,85422487;2,65846700;1,95074300
-11,81326487;2,56843800;1,95074300
-11,77230487;2,56843800;1,95074300
-11,73134487;2,52327000;1,95074300
-11,69038487;2,34305900;1,95074300
-11,64942487;2,38807300;1,95074300
-11,60846487;2,38807300;1,95074300
-11,56750487;2,34305900;1,95074300
-11,52654487;2,29804400;1,95074300
-11,48558487;2,38807300;1,95074300
-11,44462487;2,43324100;1,95074300
-11,40366487;2,38807300;1,95074300
-11,36270487;2,38807300;1,95074300
-11,32174487;2,65846700;1,95074300
-11,28078487;2,47825600;1,95074300
-11,23982487;2,56843800;1,99514800
-11,19886487;2,61345300;1,95074300
-11,15790487;2,65846700;1,99514800
-11,11694487;2,47825600;1,95074300
-11,07598487;2,47825600;1,95074300
-11,03502487;2,34305900;1,95074300
-10,99406487;2,38807300;1,95074300
-10,95310487;2,38807300;1,95074300
-10,91214487;2,29804400;1,95074300
-10,87118487;2,29804400;1,95074300
-10,83022487;2,47825600;1,95074300
-10,78926487;2,34305900;1,95074300
-10,74830487;2,56843800;1,95074300
-10,70734487;2,56843800;1,95074300
-10,66638487;2,52327000;1,95074300
-10,62542487;2,56843800;1,95074300
-10,58446488;2,65846700;1,95074300
-10,54350488;2,74865000;1,95074300
-10,50254488;2,43324100;1,99514800
-10,46158488;2,47825600;1,95074300
-10,42062488;2,38807300;1,95074300
-10,37966488;2,38807300;1,95074300
-10,33870488;2,29804400;1,95074300
-10,29774488;2,38807300;1,95074300
-10,25678488;2,29804400;1,95074300
-10,21582488;2,56843800;1,95074300
-10,17486488;2,65846700;1,95074300
-10,13390488;2,56843800;1,95074300
-10,09294488;2,56843800;1,95074300
-10,05198488;2,65846700;1,95074300
-10,01102488;2,56843800;1,95074300
-9,97006488;2,56843800;1,95074300
-9,92910488;2,70363500;1,95074300
-9,88814488;2,47825600;1,95074300
-9,84718488;2,52327000;1,95074300
-9,80622488;2,38807300;1,95074300
-9,76526488;2,29804400;1,95074300
-9,72430488;2,34305900;1,95074300
-9,68334488;2,29804400;1,95074300
-9,64238488;2,29804400;1,95074300
-9,60142488;2,47825600;1,95074300
-9,56046488;2,38807300;1,95074300
-9,51950488;2,52327000;1,95074300
-9,47854488;2,65846700;1,95074300
-9,43758488;2,56843800;1,95074300
-9,39662488;2,56843800;1,99514800
-9,35566488;2,56843800;1,95074300
-9,31470488;2,56843800;1,95074300
-9,27374488;2,70363500;1,95074300
-9,23278488;2,47825600;1,99514800
-9,19182488;2,38807300;1,95074300
-9,15086488;2,38807300;1,95074300
-9,10990488;2,38807300;1,99514800
-9,06894488;2,29804400;1,95074300
-9,02798488;2,38807300;1,95074300
-8,98702488;2,47825600;1,95074300
-8,94606489;2,47825600;1,95074300
-8,90510489;2,38807300;1,95074300
-8,86414489;2,65846700;1,95074300
-8,82318489;2,65846700;1,99514800
-8,78222489;2,47825600;1,95074300
-8,74126489;2,56843800;1,95074300
-8,70030489;2,74865000;1,99514800
-8,65934489;2,65846700;1,99514800
-8,61838489;2,47825600;1,95074300
-8,57742489;2,65846700;1,95074300
-8,53646489;2,38807300;1,95074300
-8,49550489;2,29804400;1,95074300
-8,45454489;2,43324100;1,95074300
-8,41358489;2,29804400;1,95074300
-8,37262489;2,29804400;1,95074300
-8,33166489;2,34305900;1,95074300
-8,29070489;2,29804400;1,95074300
-8,24974489;2,65846700;1,95074300
-8,20878489;2,56843800;1,99514800
-8,16782489;2,74865000;1,95074300
-8,12686489;2,74865000;1,95074300
-8,08590489;2,70363500;1,95074300
-8,04494489;2,74865000;1,99514800
-8,00398489;2,70363500;1,95074300
-7,96302489;2,61345300;1,99514800
-7,92206489;2,56843800;1,95074300
-7,88110489;2,34305900;1,95074300
-7,84014489;2,29804400;1,95074300
-7,79918489;2,38807300;1,95074300
-7,75822489;2,29804400;1,95074300
-7,71726489;2,47825600;1,95074300
-7,67630489;2,52327000;1,95074300
-7,63534489;2,38807300;1,99514800
-7,59438489;2,65846700;1,95074300
-7,55342489;2,70363500;1,95074300
-7,51246489;2,70363500;1,95074300
-7,47150489;2,56843800;1,95074300
-7,43054489;2,65846700;1,95074300
-7,38958489;2,56843800;1,99514800
