Time;Channel B
(ms);(V)

-12,04817742;0,17136140
-12,00721742;0,17136140
-11,96625742;0,17136140
-11,92529742;0,17136140
-11,88433742;0,18027280
-11,84337742;0,17136140
-11,80241742;0,18027280
-11,76145742;0,18918420
-11,72049742;0,18027280
-11,67953742;0,17136140
-11,63857742;0,18027280
-11,59761742;0,18027280
-11,55665742;0,18027280
-11,51569742;0,18027280
-11,47473742;0,18027280
-11,43377742;0,18027280
-11,39281743;0,18027280
-11,35185743;0,18918420
-11,31089743;0,18918420
-11,26993743;0,18027280
-11,22897743;0,18027280
-11,18801743;0,18027280
-11,14705743;0,18918420
-11,10609743;0,18918420
-11,06513743;0,18027280
-11,02417743;0,18918420
-10,98321743;0,18918420
-10,94225743;0,18027280
-10,90129743;0,18918420
-10,86033743;0,18918420
-10,81937743;0,18918420
-10,77841743;0,18918420
-10,73745743;0,18918420
-10,69649743;0,18918420
-10,65553743;0,18027280
-10,61457743;0,18918420
-10,57361743;0,18918420
-10,53265743;0,18918420
-10,49169743;0,18918420
-10,45073743;0,18918420
-10,40977743;0,18918420
-10,36881743;0,18918420
-10,32785743;0,18918420
-10,28689743;0,18918420
-10,24593743;0,18918420
-10,20497743;0,18918420
-10,16401743;0,18918420
-10,12305743;0,18918420
-10,08209743;0,18918420
-10,04113743;0,18027280
-10,00017743;0,18918420
-9,95921743;0,18918420
-9,91825743;0,18918420
-9,87729743;0,18027280
-9,83633743;0,18027280
-9,79537743;0,18918420
-9,75441744;0,18027280
-9,71345744;0,18918420
-9,67249744;0,18918420
-9,63153744;0,18027280
-9,59057744;0,18918420
-9,54961744;0,18918420
-9,50865744;0,18918420
-9,46769744;0,18027280
-9,42673744;0,18918420
-9,38577744;0,18027280
-9,34481744;0,18027280
-9,30385744;0,18918420
-9,26289744;0,18027280
-9,22193744;0,18027280
-9,18097744;0,18027280
-9,14001744;0,18918420
-9,09905744;0,18918420
-9,05809744;0,18027280
-9,01713744;0,18027280
-8,97617744;0,18027280
-8,93521744;0,18027280
-8,89425744;0,18027280
-8,85329744;0,18027280
-8,81233744;0,18027280
-8,77137744;0,18027280
-8,73041744;0,18027280
-8,68945744;0,18027280
-8,64849744;0,17136140
-8,60753744;0,17136140
-8,56657744;0,18027280
-8,52561744;0,18027280
-8,48465744;0,18027280
-8,44369744;0,17136140
-8,40273744;0,17136140
-8,36177744;0,17136140
-8,32081744;0,17136140
-8,27985744;0,17136140
-8,23889744;0,17136140
-8,19793744;0,17136140
-8,15697744;0,17136140
-8,11601744;0,17136140
-8,07505745;0,17136140
-8,03409745;0,17136140
-7,99313745;0,17136140
-7,95217745;0,17136140
-7,91121745;0,17136140
-7,87025745;0,16241950
-7,82929745;0,16241950
-7,78833745;0,16241950
-7,74737745;0,16241950
-7,70641745;0,16241950
-7,66545745;0,16241950
-7,62449745;0,16241950
-7,58353745;0,15350810
-7,54257745;0,17136140
-7,50161745;0,16241950
-7,46065745;0,15350810
-7,41969745;0,15350810
-7,37873745;0,16241950
-7,33777745;0,16241950
-7,29681745;0,15350810
-7,25585745;0,15350810
