Time;Channel A
(ms);(V)

-0,75898792;4,11725200
-0,75386792;4,11725200
-0,74874792;4,20423000
-0,74362792;4,20423000
-0,73850792;4,11725200
-0,73338792;4,11725200
-0,72826792;4,20423000
-0,72314792;4,20423000
-0,71802792;4,20423000
-0,71290792;4,11725200
-0,70778792;4,20423000
-0,70266792;4,20423000
-0,69754792;4,20423000
-0,69242792;4,20423000
-0,68730792;4,20423000
-0,68218792;4,20423000
-0,67706792;4,20423000
-0,67194792;4,20423000
-0,66682792;4,20423000
-0,66170792;4,20423000
-0,65658792;4,20423000
-0,65146792;4,20423000
-0,64634792;4,20423000
-0,64122792;4,20423000
-0,63610792;4,20423000
-0,63098792;4,20423000
-0,62586792;4,20423000
-0,62074792;4,20423000
-0,61562792;4,20423000
-0,61050792;4,20423000
-0,60538792;4,20423000
-0,60026792;4,20423000
-0,59514792;4,20423000
-0,59002792;4,29120800
-0,58490792;4,20423000
-0,57978792;4,20423000
-0,57466792;4,20423000
-0,56954792;4,20423000
-0,56442792;4,29120800
-0,55930792;4,20423000
-0,55418792;4,20423000
-0,54906792;4,20423000
-0,54394792;4,20423000
-0,53882792;4,29120800
-0,53370792;4,29120800
-0,52858792;4,20423000
-0,52346792;4,20423000
-0,51834792;4,29120800
-0,51322792;4,20423000
-0,50810792;4,20423000
-0,50298792;4,29120800
-0,49786792;4,20423000
-0,49274792;4,29120800
-0,48762792;4,20423000
-0,48250792;4,29120800
-0,47738792;4,29120800
-0,47226792;4,29120800
-0,46714792;4,29120800
-0,46202792;4,29120800
-0,45690792;4,29120800
-0,45178792;4,29120800
-0,44666792;4,29120800
-0,44154792;4,29120800
-0,43642792;4,29120800
-0,43130792;4,29120800
-0,42618792;4,20423000
-0,42106792;4,29120800
-0,41594792;4,20423000
-0,41082792;4,29120800
-0,40570792;4,29120800
-0,40058792;4,29120800
-0,39546792;4,29120800
-0,39034792;4,29120800
-0,38522792;4,29120800
-0,38010792;4,29120800
-0,37498792;4,29120800
-0,36986792;4,29120800
-0,36474792;4,29120800
-0,35962792;4,20423000
-0,35450792;4,29120800
-0,34938792;4,29120800
-0,34426792;4,29120800
-0,33914792;4,29120800
-0,33402792;4,29120800
-0,32890792;4,20423000
-0,32378792;4,29120800
-0,31866792;4,29120800
-0,31354792;4,29120800
-0,30842792;4,29120800
-0,30330792;4,29120800
-0,29818792;4,29120800
-0,29306792;4,29120800
-0,28794792;4,29120800
-0,28282792;4,29120800
-0,27770792;4,29120800
-0,27258792;4,29120800
-0,26746792;4,29120800
-0,26234792;4,29120800
-0,25722792;4,29120800
-0,25210792;4,29120800
-0,24698792;4,29120800
-0,24186792;4,29120800
-0,23674792;4,29120800
-0,23162792;4,29120800
-0,22650792;4,29120800
