Time;Channel B
(ms);(V)

-3,18141692;2,39524500
-3,17885692;2,48420700
-3,17629692;2,52876400
-3,17373692;2,52876400
-3,17117692;2,48420700
-3,16861692;2,52876400
-3,16605692;2,52876400
-3,16349692;2,43980200
-3,16093692;2,43980200
-3,15837692;2,52876400
-3,15581692;2,43980200
-3,15325692;2,39524500
-3,15069692;2,39524500
-3,14813692;2,48420700
-3,14557692;2,43980200
-3,14301692;2,48420700
-3,14045692;2,57316800
-3,13789692;2,52876400
-3,13533692;2,43980200
-3,13277692;2,48420700
-3,13021692;2,48420700
-3,12765692;2,52876400
-3,12509692;2,61757300
-3,12253692;2,70653400
-3,11997692;2,66213000
-3,11741692;2,57316800
-3,11485692;2,57316800
-3,11229692;2,61757300
-3,10973692;2,52876400
-3,10717692;2,48420700
-3,10461692;2,48420700
-3,10205692;2,43980200
-3,09949692;2,39524500
-3,09693692;2,43980200
-3,09437692;2,48420700
-3,09181692;2,57316800
-3,08925692;2,61757300
-3,08669692;2,70653400
-3,08413692;2,66213000
-3,08157692;2,57316800
-3,07901692;2,61757300
-3,07645692;2,66213000
-3,07389692;2,61757300
-3,07133692;2,52876400
-3,06877692;2,48420700
-3,06621692;2,48420700
-3,06365692;2,52876400
-3,06109692;2,43980200
-3,05853692;2,39524500
-3,05597692;2,39524500
-3,05341693;2,43980200
-3,05085693;2,39524500
-3,04829693;2,39524500
-3,04573693;2,43980200
-3,04317693;2,48420700
-3,04061693;2,57316800
-3,03805693;2,52876400
-3,03549693;2,48420700
-3,03293693;2,52876400
-3,03037693;2,57316800
-3,02781693;2,52876400
-3,02525693;2,48420700
-3,02269693;2,48420700
-3,02013693;2,48420700
-3,01757693;2,52876400
-3,01501693;2,43980200
-3,01245693;2,39524500
-3,00989693;2,43980200
-3,00733693;2,48420700
-3,00477693;2,43980200
-3,00221693;2,48420700
-2,99965693;2,52876400
-2,99709693;2,57316800
-2,99453693;2,70653400
-2,99197693;2,70653400
-2,98941693;2,57316800
-2,98685693;2,52876400
-2,98429693;2,52876400
-2,98173693;2,39524500
-2,97917693;2,39524500
-2,97661693;2,43980200
-2,97405693;2,48420700
-2,97149693;2,48420700
-2,96893693;2,39524500
-2,96637693;2,39524500
-2,96381693;2,43980200
-2,96125693;2,48420700
-2,95869693;2,57316800
-2,95613693;2,70653400
-2,95357693;2,66213000
-2,95101693;2,57316800
-2,94845693;2,57316800
-2,94589693;2,66213000
-2,94333693;2,52876400
-2,94077693;2,48420700
-2,93821693;2,43980200
-2,93565693;2,39524500
-2,93309693;2,35084100
-2,93053693;2,35084100
-2,92797693;2,39524500
-2,92541693;2,39524500
-2,92285693;2,39524500
-2,92029693;2,39524500
-2,91773693;2,52876400
-2,91517693;2,43980200
-2,91261693;2,39524500
-2,91005693;2,48420700
-2,90749693;2,52876400
-2,90493693;2,48420700
-2,90237693;2,48420700
-2,89981693;2,52876400
-2,89725693;2,61757300
-2,89469693;2,70653400
-2,89213693;2,57316800
-2,88957693;2,52876400
-2,88701693;2,52876400
-2,88445693;2,57316800
-2,88189693;2,57316800
-2,87933693;2,52876400
-2,87677693;2,52876400
-2,87421693;2,57316800
-2,87165693;2,52876400
-2,86909693;2,43980200
-2,86653693;2,48420700
-2,86397693;2,48420700
-2,86141693;2,43980200
-2,85885693;2,39524500
-2,85629693;2,48420700
-2,85373693;2,52876400
-2,85117693;2,57316800
-2,84861693;2,66213000
-2,84605693;2,70653400
-2,84349693;2,75093800
-2,84093693;2,75093800
-2,83837693;2,66213000
-2,83581693;2,52876400
-2,83325693;2,48420700
-2,83069693;2,43980200
-2,82813693;2,30643600
-2,82557693;2,30643600
-2,82301693;2,35084100
-2,82045693;2,39524500
-2,81789693;2,48420700
-2,81533693;2,57316800
