Time;Channel A
(ms);(V)

-2,00828700;5,07339700
-2,00316700;5,07339700
-1,99804700;4,98641900
-1,99292700;5,07339700
-1,98780700;5,07339700
-1,98268700;0,03326517
-1,97756700;0,03326517
-1,97244700;0,03326517
-1,96732700;0,03326517
-1,96220700;0,03326517
-1,95708700;0,03326517
-1,95196700;0,03326517
-1,94684700;0,03326517
-1,94172700;-0,05371258
-1,93660700;0,03326517
-1,93148700;0,03326517
-1,92636700;0,03326517
-1,92124700;-0,05371258
-1,91612700;0,03326517
-1,91100700;0,03326517
-1,90588700;0,03326517
-1,90076700;0,03326517
-1,89564700;-0,05371258
-1,89052700;0,03326517
-1,88540700;0,03326517
-1,88028700;0,03326517
-1,87516700;0,03326517
-1,87004700;0,03326517
-1,86492700;0,03326517
-1,85980700;-0,05371258
-1,85468700;0,03326517
-1,84956700;0,03326517
-1,84444700;0,03326517
-1,83932700;-0,05371258
-1,83420700;0,03326517
-1,82908700;0,03326517
-1,82396700;0,03326517
-1,81884700;0,03326517
-1,81372700;0,03326517
-1,80860700;0,03326517
-1,80348700;0,03326517
-1,79836700;0,03326517
-1,79324700;0,03326517
-1,78812700;0,03326517
-1,78300700;0,03326517
-1,77788700;0,03326517
-1,77276700;-0,05371258
-1,76764700;-0,05371258
-1,76252700;0,03326517
-1,75740700;-0,05371258
-1,75228700;-0,05371258
-1,74716700;0,03326517
-1,74204700;0,03326517
-1,73692700;0,03326517
-1,73180700;0,03326517
-1,72668700;0,03326517
-1,72156701;-0,05371258
-1,71644701;-0,05371258
-1,71132701;0,03326517
-1,70620701;0,03326517
-1,70108701;0,03326517
-1,69596701;0,03326517
-1,69084701;-0,05371258
-1,68572701;-0,05371258
-1,68060701;0,03326517
-1,67548701;-0,05371258
-1,67036701;0,03326517
-1,66524701;-0,05371258
-1,66012701;0,03326517
-1,65500701;-0,05371258
-1,64988701;-0,05371258
-1,64476701;-0,05371258
-1,63964701;0,03326517
-1,63452701;0,03326517
-1,62940701;0,03326517
-1,62428701;0,03326517
-1,61916701;0,03326517
-1,61404701;0,03326517
-1,60892701;-0,05371258
-1,60380701;-0,05371258
-1,59868701;0,03326517
-1,59356701;-0,05371258
-1,58844701;0,03326517
-1,58332701;0,03326517
-1,57820701;0,03326517
-1,57308701;0,03326517
-1,56796701;0,03326517
-1,56284701;0,03326517
-1,55772701;0,03326517
-1,55260701;0,03326517
-1,54748701;0,03326517
-1,54236701;0,03326517
-1,53724701;0,03326517
-1,53212701;0,03326517
-1,52700701;-0,05371258
-1,52188701;0,03326517
-1,51676701;0,03326517
-1,51164701;-0,05371258
-1,50652701;0,03326517
-1,50140701;0,03326517
-1,49628701;-0,05371258
-1,49116701;-0,05371258
-1,48604701;0,03326517
-1,48092701;-0,05371258
-1,47580701;0,03326517
-1,47068701;0,03326517
-1,46556701;0,03326517
-1,46044701;0,03326517
-1,45532701;0,03326517
-1,45020701;-0,05371258
-1,44508701;0,03326517
-1,43996701;0,03326517
-1,43484701;0,03326517
-1,42972701;-0,05371258
-1,42460701;-0,05371258
-1,41948701;0,03326517
