Time;Channel A
(ms);(V)

-2,00826605;5,07339700
-2,00314605;5,07339700
-1,99802605;5,07339700
-1,99290605;5,07339700
-1,98778605;5,16006900
-1,98266605;5,07339700
-1,97754605;2,20557300
-1,97242605;0,12024290
-1,96730605;0,03326517
-1,96218605;0,03326517
-1,95706605;0,03326517
-1,95194605;0,03326517
-1,94682605;0,03326517
-1,94170605;0,03326517
-1,93658605;0,03326517
-1,93146605;0,03326517
-1,92634605;0,03326517
-1,92122605;0,03326517
-1,91610605;0,03326517
-1,91098605;0,03326517
-1,90586605;0,03326517
-1,90074605;0,03326517
-1,89562605;0,03326517
-1,89050605;0,03326517
-1,88538605;0,03326517
-1,88026605;0,03326517
-1,87514605;0,03326517
-1,87002605;0,03326517
-1,86490605;0,03326517
-1,85978605;0,03326517
-1,85466605;0,03326517
-1,84954605;0,03326517
-1,84442605;0,03326517
-1,83930605;0,03326517
-1,83418605;-0,05371258
-1,82906605;0,03326517
-1,82394605;0,03326517
-1,81882605;0,03326517
-1,81370605;0,03326517
-1,80858605;0,03326517
-1,80346605;0,03326517
-1,79834605;0,03326517
-1,79322605;0,03326517
-1,78810605;0,03326517
-1,78298605;0,03326517
-1,77786605;0,03326517
-1,77274605;0,03326517
-1,76762605;0,03326517
-1,76250605;0,03326517
-1,75738605;0,03326517
-1,75226605;0,03326517
-1,74714605;0,03326517
-1,74202605;0,03326517
-1,73690605;0,03326517
-1,73178605;-0,05371258
-1,72666605;0,03326517
-1,72154605;0,03326517
-1,71642605;0,03326517
-1,71130605;0,03326517
-1,70618605;0,03326517
-1,70106605;0,03326517
-1,69594605;0,03326517
-1,69082605;-0,05371258
-1,68570605;0,03326517
-1,68058605;-0,05371258
-1,67546605;0,03326517
-1,67034605;0,03326517
-1,66522605;0,03326517
-1,66010605;0,03326517
-1,65498605;-0,05371258
-1,64986605;-0,05371258
-1,64474605;0,03326517
-1,63962605;0,03326517
-1,63450605;0,03326517
-1,62938605;0,03326517
-1,62426605;0,03326517
-1,61914605;0,03326517
-1,61402605;-0,05371258
-1,60890605;0,03326517
-1,60378605;0,03326517
-1,59866605;0,03326517
-1,59354605;0,03326517
-1,58842605;0,03326517
-1,58330605;0,03326517
-1,57818605;0,03326517
-1,57306605;-0,05371258
-1,56794605;0,03326517
-1,56282605;0,03326517
-1,55770605;0,03326517
-1,55258605;0,03326517
-1,54746605;-0,05371258
-1,54234605;0,03326517
-1,53722605;-0,05371258
-1,53210605;0,03326517
-1,52698605;-0,05371258
-1,52186605;-0,05371258
-1,51674605;0,03326517
-1,51162605;0,03326517
-1,50650605;-0,05371258
-1,50138605;0,03326517
-1,49626605;0,03326517
-1,49114605;0,03326517
-1,48602605;0,03326517
-1,48090605;-0,05371258
-1,47578605;0,03326517
-1,47066605;0,03326517
-1,46554605;0,03326517
-1,46042605;0,03326517
-1,45530605;-0,05371258
-1,45018605;0,03326517
-1,44506605;0,03326517
-1,43994605;0,03326517
-1,43482605;0,03326517
-1,42970605;0,03326517
-1,42458605;0,03326517
-1,41946605;0,03326517
-1,41434605;-0,05371258
