Time;Channel A;Channel B
(ms);(V);(mV)

-8,03053938;-0,00030519;35,56627000
-7,98957938;-0,00030519;35,56627000
-7,94861938;-0,00030519;34,66597000
-7,90765938;-0,00030519;32,86691000
-7,86669938;-0,00030519;32,41829000
-7,82573938;-0,00030519;33,31706000
-7,78477938;-0,00030519;33,31706000
-7,74381938;-0,00030519;33,31706000
-7,70285938;-0,00030519;34,21735000
-7,66189938;-0,00030519;31,96814000
-7,62093938;-0,00030519;32,86691000
-7,57997938;-0,00030519;34,66597000
-7,53901938;-0,00030519;33,76720000
-7,49805938;-0,00030519;32,86691000
-7,45709938;-0,00030519;35,11612000
-7,41613938;-0,00030519;34,66597000
-7,37517938;-0,00030519;33,31706000
-7,33421938;-0,00030519;32,41829000
-7,29325938;-0,00030519;33,76720000
-7,25229938;-0,00030519;32,41829000
-7,21133938;-0,00030519;31,96814000
-7,17037938;-0,00030519;36,46504000
-7,12941938;-0,00030519;36,01642000
-7,08845938;-0,00030519;31,96814000
-7,04749938;-0,00030519;34,66597000
-7,00653938;-0,00030519;35,11612000
-6,96557938;-0,00030519;31,51799000
-6,92461939;-0,00030519;33,31706000
-6,88365939;-0,00030519;33,76720000
-6,84269939;-0,00030519;33,31706000
-6,80173939;-0,00030519;32,86691000
-6,76077939;-0,00030519;35,11612000
-6,71981939;-0,00030519;35,11612000
-6,67885939;-0,00030519;33,31706000
-6,63789939;-0,00030519;35,11612000
-6,59693939;-0,00030519;36,91519000
-6,55597939;-0,00030519;34,66597000
-6,51501939;-0,00030519;34,21735000
-6,47405939;-0,00030519;34,21735000
-6,43309939;-0,00030519;32,86691000
-6,39213939;-0,00030519;34,21735000
-6,35117939;-0,00030519;35,56627000
-6,31021939;-0,00030519;33,76720000
-6,26925939;-0,00030519;33,76720000
-6,22829939;-0,00030519;34,21735000
-6,18733939;-0,00030519;36,46504000
-6,14637939;-0,00030519;33,76720000
-6,10541939;-0,00030519;35,11612000
-6,06445939;-0,00030519;34,66597000
-6,02349939;-0,00030519;32,86691000
-5,98253939;-0,00030519;33,76720000
-5,94157939;-0,00030519;33,76720000
-5,90061939;-0,00030519;34,21735000
-5,85965939;-0,00030519;31,51799000
-5,81869939;-0,00030519;34,21735000
-5,77773939;-0,00030519;36,91519000
-5,73677939;-0,00030519;33,31706000
-5,69581939;-0,00030519;34,66597000
-5,65485939;-0,00030519;35,11612000
-5,61389939;-0,00030519;34,66597000
-5,57293939;-0,00030519;35,11612000
-5,53197939;-0,00030519;35,56627000
-5,49101939;-0,00030519;34,21735000
-5,45005939;-0,00030519;33,76720000
-5,40909939;-0,00030519;36,46504000
-5,36813939;-0,00030519;35,56627000
-5,32717939;-0,00030519;32,41829000
-5,28621940;-0,00030519;34,21735000
-5,24525940;-0,00030519;36,46504000
-5,20429940;-0,00030519;34,21735000
-5,16333940;-0,00030519;35,11612000
-5,12237940;-0,00030519;36,01642000
-5,08141940;-0,00030519;34,21735000
-5,04045940;-0,00030519;32,86691000
-4,99949940;-0,00030519;35,11612000
-4,95853940;-0,00030519;36,91519000
-4,91757940;-0,00030519;35,11612000
-4,87661940;-0,00030519;32,86691000
-4,83565940;-0,00030519;35,11612000
-4,79469940;-0,00030519;33,31706000
-4,75373940;-0,00030519;34,66597000
-4,71277940;-0,00030519;35,56627000
-4,67181940;-0,00030519;34,66597000
-4,63085940;-0,00030519;33,76720000
-4,58989940;-0,00030519;36,01642000
-4,54893940;-0,00030519;36,91519000
-4,50797940;-0,00030519;34,66597000
-4,46701940;-0,00030519;34,66597000
-4,42605940;-0,00030519;35,56627000
-4,38509940;-0,00030519;36,01642000
-4,34413940;-0,00030519;36,01642000
-4,30317940;-0,00030519;34,66597000
-4,26221940;-0,00030519;35,56627000
-4,22125940;-0,00030519;33,76720000
-4,18029940;-0,00030519;35,11612000
-4,13933940;-0,00030519;37,81548000
-4,09837940;-0,00030519;33,31706000
-4,05741940;-0,00030519;35,11612000
-4,01645940;-0,00030519;35,11612000
-3,97549940;-0,00030519;34,21735000
-3,93453940;-0,00030519;34,21735000
-3,89357940;-0,00030519;35,56627000
-3,85261940;-0,00030519;33,31706000
-3,81165940;-0,00030519;35,11612000
-3,77069940;-0,00030519;36,46504000
-3,72973940;-0,00030519;36,01642000
-3,68877940;-0,00030519;32,41829000
-3,64781941;-0,00030519;34,66597000
-3,60685941;-0,00030519;38,26563000
-3,56589941;-0,00030519;37,81548000
-3,52493941;-0,00030519;35,11612000
-3,48397941;-0,00030519;36,01642000
-3,44301941;-0,00030519;34,66597000
-3,40205941;-0,00030519;34,21735000
-3,36109941;-0,00030519;35,11612000
-3,32013941;-0,00030519;36,46504000
-3,27917941;-0,00030519;34,21735000
-3,23821941;-0,00030519;34,21735000
-3,19725941;-0,00030519;36,91519000
-3,15629941;-0,00030519;36,91519000
-3,11533941;-0,00030519;34,66597000
-3,07437941;-0,00030519;34,66597000
-3,03341941;-0,00030519;36,46504000
-2,99245941;-0,00030519;33,76720000
-2,95149941;-0,00030519;37,36534000
-2,91053941;-0,00030519;35,56627000
-2,86957941;-0,00030519;32,86691000
-2,82861941;-0,00030519;32,86691000
-2,78765941;-0,00030519;36,46504000
-2,74669941;-0,00030519;37,36534000
-2,70573941;-0,00030519;34,21735000
-2,66477941;-0,00030519;34,21735000
-2,62381941;-0,00030519;36,01642000
-2,58285941;-0,00030519;36,01642000
-2,54189941;-0,00030519;36,01642000
-2,50093941;-0,00030519;36,91519000
-2,45997941;-0,00030519;34,21735000
-2,41901941;-0,00030519;33,31706000
