time	V(n004)
6.321360404001777e-06	2.527791e+00
6.404217546859326e-06	2.527481e+00
6.487074689716875e-06	2.527163e+00
6.569931832574425e-06	2.526836e+00
6.652788975431974e-06	2.526501e+00
6.735646118289523e-06	2.526157e+00
6.818503261147072e-06	2.525804e+00
6.901360404004621e-06	2.525443e+00
6.969931832576386e-06	2.525150e+00
7.038503261148151e-06	2.524857e+00
7.107074689719915e-06	2.524564e+00
7.175646118291680e-06	2.524270e+00
7.244217546863445e-06	2.523976e+00
7.312788975435210e-06	2.523682e+00
7.381360404006975e-06	2.523388e+00
7.445646118293004e-06	2.523110e+00
7.509931832579034e-06	2.522818e+00
7.574217546865063e-06	2.522513e+00
7.638503261151093e-06	2.522195e+00
7.702788975437122e-06	2.521864e+00
7.767074689723152e-06	2.521519e+00
7.831360404009181e-06	2.521161e+00
7.901360404009524e-06	2.520741e+00
7.971360404009867e-06	2.520294e+00
8.041360404010211e-06	2.519822e+00
8.111360404010554e-06	2.519324e+00
8.181360404010897e-06	2.518800e+00
8.251360404011240e-06	2.518250e+00
8.321360404011584e-06	2.517673e+00
8.385646118297613e-06	2.517122e+00
8.449931832583643e-06	2.516564e+00
8.514217546869672e-06	2.515997e+00
8.578503261155702e-06	2.515423e+00
8.642788975441731e-06	2.514841e+00
8.707074689727761e-06	2.514251e+00
8.771360404013790e-06	2.513654e+00
8.841360404014133e-06	2.513010e+00
8.911360404014477e-06	2.512372e+00
8.981360404014820e-06	2.511742e+00
9.051360404015163e-06	2.511119e+00
9.121360404015506e-06	2.510503e+00
9.191360404015849e-06	2.509894e+00
9.261360404016193e-06	2.509292e+00
9.332788975445114e-06	2.508690e+00
9.404217546874036e-06	2.508087e+00
9.475646118302958e-06	2.507483e+00
9.547074689731879e-06	2.506878e+00
9.618503261160801e-06	2.506273e+00
9.689931832589723e-06	2.505666e+00
9.761360404018644e-06	2.505059e+00
9.811360404018889e-06	2.504626e+00
9.861360404019135e-06	2.504187e+00
9.911360404019380e-06	2.503743e+00
9.961360404019625e-06	2.503294e+00
1.001136040401987e-05	2.502839e+00
1.006136040402012e-05	2.502379e+00
1.011136040402036e-05	2.501913e+00
1.019136040402075e-05	2.501154e+00
1.028564611830693e-05	2.500245e+00
1.037993183259311e-05	2.499311e+00
1.047421754687928e-05	2.498353e+00
1.056850326116546e-05	2.497370e+00
1.066278897545164e-05	2.496362e+00
1.075707468973781e-05	2.495329e+00
1.085136040402399e-05	2.494272e+00
1.088850326116703e-05	2.493845e+00
1.092564611831007e-05	2.493415e+00
1.096278897545311e-05	2.492979e+00
1.099993183259615e-05	2.492539e+00
1.103707468973919e-05	2.492095e+00
1.107421754688222e-05	2.491646e+00
1.111136040402526e-05	2.491192e+00
1.115993183259693e-05	2.490588e+00
1.120850326116860e-05	2.489982e+00
1.125707468974026e-05	2.489372e+00
1.130564611831193e-05	2.488758e+00
1.135421754688360e-05	2.488141e+00
1.140278897545526e-05	2.487521e+00
1.145136040402693e-05	2.486897e+00
1.150136040402718e-05	2.486256e+00
1.155136040402742e-05	2.485627e+00
1.160136040402767e-05	2.485009e+00
1.165136040402791e-05	2.484402e+00
1.170136040402816e-05	2.483806e+00
1.175136040402840e-05	2.483221e+00
1.180136040402865e-05	2.482647e+00
1.184850326117174e-05	2.482126e+00
1.189564611831482e-05	2.481624e+00
1.194278897545791e-05	2.481142e+00
1.198993183260100e-05	2.480679e+00
1.203707468974409e-05	2.480235e+00
1.208421754688718e-05	2.479811e+00
1.213136040403026e-05	2.479406e+00
1.219993183260203e-05	2.478860e+00
1.226850326117379e-05	2.478346e+00
1.233707468974556e-05	2.477866e+00
1.240564611831732e-05	2.477419e+00
