Time;Channel B
(ms);(mV)

-8,03053938;35,56627000
-7,98957938;35,56627000
-7,94861938;34,66597000
-7,90765938;32,86691000
-7,86669938;32,41829000
-7,82573938;33,31706000
-7,78477938;33,31706000
-7,74381938;33,31706000
-7,70285938;34,21735000
-7,66189938;31,96814000
-7,62093938;32,86691000
-7,57997938;34,66597000
-7,53901938;33,76720000
-7,49805938;32,86691000
-7,45709938;35,11612000
-7,41613938;34,66597000
-7,37517938;33,31706000
-7,33421938;32,41829000
-7,29325938;33,76720000
-7,25229938;32,41829000
-7,21133938;31,96814000
-7,17037938;36,46504000
-7,12941938;36,01642000
-7,08845938;31,96814000
-7,04749938;34,66597000
-7,00653938;35,11612000
-6,96557938;31,51799000
-6,92461939;33,31706000
-6,88365939;33,76720000
-6,84269939;33,31706000
-6,80173939;32,86691000
-6,76077939;35,11612000
-6,71981939;35,11612000
-6,67885939;33,31706000
-6,63789939;35,11612000
-6,59693939;36,91519000
-6,55597939;34,66597000
-6,51501939;34,21735000
-6,47405939;34,21735000
-6,43309939;32,86691000
-6,39213939;34,21735000
-6,35117939;35,56627000
-6,31021939;33,76720000
-6,26925939;33,76720000
-6,22829939;34,21735000
-6,18733939;36,46504000
-6,14637939;33,76720000
-6,10541939;35,11612000
-6,06445939;34,66597000
-6,02349939;32,86691000
-5,98253939;33,76720000
-5,94157939;33,76720000
-5,90061939;34,21735000
-5,85965939;31,51799000
-5,81869939;34,21735000
-5,77773939;36,91519000
-5,73677939;33,31706000
-5,69581939;34,66597000
-5,65485939;35,11612000
-5,61389939;34,66597000
-5,57293939;35,11612000
-5,53197939;35,56627000
-5,49101939;34,21735000
-5,45005939;33,76720000
-5,40909939;36,46504000
-5,36813939;35,56627000
-5,32717939;32,41829000
-5,28621940;34,21735000
-5,24525940;36,46504000
-5,20429940;34,21735000
-5,16333940;35,11612000
-5,12237940;36,01642000
-5,08141940;34,21735000
-5,04045940;32,86691000
-4,99949940;35,11612000
-4,95853940;36,91519000
-4,91757940;35,11612000
-4,87661940;32,86691000
