time;V(V_tia);
0;1.0248;
2e-11;1.0248;
4e-11;1.0248;
8e-11;1.0248;
1.6e-10;1.0248;
3.2e-10;1.0248;
6.4e-10;1.0248;
1.28e-09;1.0248;
2e-09;1.0248;
2.128e-09;1.0248;
2.384e-09;1.0248;
2.896e-09;1.0248;
3.92e-09;1.0248;
4e-09;1.0248;
4.16e-09;1.0248;
4.48e-09;1.0248;
5.12e-09;1.0248;
6.4e-09;1.0248;
8.96e-09;1.0248;
1.408e-08;1.0248;
2.432e-08;1.0248;
4.48e-08;1.0248;
8.576e-08;1.0248;
1.6768e-07;1.02481;
3.3152e-07;1.02486;
5.88968e-07;1.02499;
8.34156e-07;1.02519;
1.07266e-06;1.02544;
1.33332e-06;1.02577;
1.58754e-06;1.02615;
1.87727e-06;1.02664;
2.1867e-06;1.02721;
2.47763e-06;1.02779;
2.58045e-06;1.02801;
2.63045e-06;1.02811;
2.64161e-06;1.02814;
2.64599e-06;1.02815;
2.64839e-06;1.02815;
2.64987e-06;1.02815;
2.65082e-06;1.02816;
2.65152e-06;1.02816;
2.65214e-06;1.02816;
2.65278e-06;1.02816;
2.65346e-06;1.02816;
2.65436e-06;1.02816;
2.65562e-06;1.02817;
2.65759e-06;1.02817;
2.66097e-06;1.02818;
2.66518e-06;1.02819;
2.66982e-06;1.0282;
2.67425e-06;1.02821;
2.67902e-06;1.02822;
2.68409e-06;1.02823;
2.68986e-06;1.02824;
2.69634e-06;1.02825;
2.70399e-06;1.02827;
2.71325e-06;1.02829;
2.72499e-06;1.02831;
2.74086e-06;1.02835;
2.76357e-06;1.0284;
2.80177e-06;1.02848;
2.87476e-06;1.02864;
3.02072e-06;1.02895;
3.31266e-06;1.0296;
3.79107e-06;1.03065;
4.29171e-06;1.03171;
4.8144e-06;1.03274;
5.15427e-06;1.03336;
5.48873e-06;1.03391;
5.83991e-06;1.03442;
6.22204e-06;1.03489;
6.59006e-06;1.03527;
7.18482e-06;1.0357;
7.97561e-06;1.03596;
8.97561e-06;1.03582;
9.97561e-06;1.03529;
1.09756e-05;1.03453;
1.19756e-05;1.03368;
1.29756e-05;1.03291;
1.39756e-05;1.0323;
1.49756e-05;1.03191;
1.5959e-05;1.03176;
1.6959e-05;1.03182;
1.7959e-05;1.03203;
1.87509e-05;1.03228;
1.94852e-05;1.03253;
2.03072e-05;1.03282;
2.11279e-05;1.03307;
2.21279e-05;1.03331;
2.31279e-05;1.03346;
2.41279e-05;1.03351;
2.51279e-05;1.03347;
2.61279e-05;1.03338;
