time;V(V_tia);
0;1.0248;
2e-11;1.0248;
4e-11;1.0248;
8e-11;1.0248;
1.6e-10;1.0248;
3.2e-10;1.0248;
6.4e-10;1.0248;
1.28e-09;1.0248;
2e-09;1.0248;
2.128e-09;1.0248;
2.384e-09;1.0248;
2.896e-09;1.0248;
3.92e-09;1.0248;
4e-09;1.0248;
4.16e-09;1.0248;
4.48e-09;1.0248;
5.12e-09;1.0248;
6.4e-09;1.0248;
8.96e-09;1.0248;
1.408e-08;1.0248;
2.432e-08;1.0248;
4.48e-08;1.0248;
8.576e-08;1.0248;
1.6768e-07;1.02481;
3.3152e-07;1.02485;
6.16954e-07;1.02497;
8.84388e-07;1.02516;
1.13699e-06;1.02539;
1.41219e-06;1.0257;
1.67713e-06;1.02606;
1.97857e-06;1.02654;
2.29703e-06;1.0271;
2.5889e-06;1.02767;
2.69172e-06;1.02788;
2.74137e-06;1.02798;
2.75195e-06;1.028;
2.75662e-06;1.02801;
2.75908e-06;1.02802;
2.76066e-06;1.02802;
2.76174e-06;1.02802;
2.76258e-06;1.02802;
2.76333e-06;1.02802;
2.7641e-06;1.02803;
2.76491e-06;1.02803;
2.76592e-06;1.02803;
2.76726e-06;1.02803;
2.76922e-06;1.02804;
2.77228e-06;1.02804;
2.7766e-06;1.02805;
2.78123e-06;1.02806;
2.78588e-06;1.02807;
2.79068e-06;1.02808;
2.79601e-06;1.02809;
2.80193e-06;1.0281;
2.80888e-06;1.02812;
2.81692e-06;1.02814;
2.82711e-06;1.02816;
2.83985e-06;1.02819;
2.85812e-06;1.02822;
2.88425e-06;1.02828;
2.93327e-06;1.02839;
3.02897e-06;1.02859;
3.21375e-06;1.029;
3.5793e-06;1.02983;
4.13386e-06;1.03111;
4.72328e-06;1.03244;
5.13124e-06;1.0333;
5.43628e-06;1.0339;
5.84128e-06;1.03461;
6.11468e-06;1.03504;
6.4976e-06;1.03555;
7.26343e-06;1.03622;
8.26343e-06;1.03637;
9.26343e-06;1.03572;
1.02634e-05;1.03441;
1.12634e-05;1.03267;
1.22634e-05;1.03081;
1.29812e-05;1.02956;
1.36134e-05;1.02863;
1.4251e-05;1.0279;
1.49559e-05;1.02741;
1.59442e-05;1.02732;
1.67944e-05;1.0278;
1.74695e-05;1.02851;
1.77559e-05;1.02889;
1.78779e-05;1.02906;
1.79279e-05;1.02913;
1.79807e-05;1.02921;
1.80047e-05;1.02924;
1.80186e-05;1.02926;
1.80238e-05;1.02927;
1.80287e-05;1.02928;
1.80337e-05;1.02929;
