time;V(V_tia);
0;0.487305;
2e-11;0.487305;
4e-11;0.487305;
8e-11;0.487305;
1.6e-10;0.487305;
3.2e-10;0.487305;
6.4e-10;0.487305;
1.28e-09;0.487305;
2e-09;0.487305;
2.128e-09;0.487304;
2.384e-09;0.487304;
2.896e-09;0.487303;
3.92e-09;0.487296;
4e-09;0.487295;
4.16e-09;0.487294;
4.48e-09;0.487291;
5.12e-09;0.487286;
6.4e-09;0.487277;
8.96e-09;0.487264;
1.408e-08;0.487247;
2.432e-08;0.487237;
3.73073e-08;0.487242;
5.6891e-08;0.48727;
8.68465e-08;0.487338;
1.29777e-07;0.487459;
1.81078e-07;0.487603;
2.47213e-07;0.487773;
3.67292e-07;0.488065;
5.08984e-07;0.4884;
7.66199e-07;0.488966;
1.16922e-06;0.489761;
1.56523e-06;0.490444;
2.03092e-06;0.491138;
2.68177e-06;0.491945;
3.36643e-06;0.492622;
4.14991e-06;0.493231;
5.00912e-06;0.49374;
5.90708e-06;0.49414;
6.90708e-06;0.494468;
7.90708e-06;0.494707;
8.90708e-06;0.494884;
9.90708e-06;0.495017;
1.09071e-05;0.495118;
1.19071e-05;0.495196;
1.29071e-05;0.495259;
1.39071e-05;0.495311;
1.49071e-05;0.495354;
1.59071e-05;0.495392;
1.69071e-05;0.495426;
1.79071e-05;0.495457;
1.89071e-05;0.495487;
1.99071e-05;0.495514;
2.09071e-05;0.495541;
2.19071e-05;0.495567;
2.29071e-05;0.495592;
2.39071e-05;0.495617;
2.49071e-05;0.495642;
2.59071e-05;0.495667;
2.69071e-05;0.495691;
2.79071e-05;0.495716;
2.89071e-05;0.49574;
2.99071e-05;0.495765;
3.09071e-05;0.495789;
3.19071e-05;0.495814;
3.29071e-05;0.495838;
3.39071e-05;0.495863;
3.49071e-05;0.495887;
3.59071e-05;0.495911;
3.69071e-05;0.495936;
3.79071e-05;0.49596;
3.89071e-05;0.495985;
3.99071e-05;0.496009;
4.09071e-05;0.496034;
4.19071e-05;0.496058;
4.29071e-05;0.496083;
4.39071e-05;0.496107;
4.49071e-05;0.496132;
4.59071e-05;0.496156;
4.69071e-05;0.496181;
4.79071e-05;0.496205;
4.89071e-05;0.49623;
4.99071e-05;0.496254;
5.09071e-05;0.496279;
5.19071e-05;0.496303;
5.29071e-05;0.496328;
5.39071e-05;0.496352;
5.49071e-05;0.496377;
5.59071e-05;0.496401;
5.69071e-05;0.496426;
5.79071e-05;0.49645;
5.89071e-05;0.496475;
5.99071e-05;0.496499;
6.09071e-05;0.496524;
6.19071e-05;0.496548;
6.29071e-05;0.496573;
6.39071e-05;0.496597;
6.49071e-05;0.496622;
6.59071e-05;0.496646;
6.69071e-05;0.496671;
6.79071e-05;0.496695;
6.89071e-05;0.49672;
6.99071e-05;0.496744;
7.09071e-05;0.496769;
7.19071e-05;0.496793;
7.29071e-05;0.496818;
7.39071e-05;0.496842;
7.49071e-05;0.496866;
7.59071e-05;0.496891;
7.69071e-05;0.496915;
7.79071e-05;0.49694;
7.89071e-05;0.496964;
7.99071e-05;0.496989;
8.09071e-05;0.497013;
8.19071e-05;0.497038;
8.29071e-05;0.497062;
8.39071e-05;0.497087;
8.49071e-05;0.497111;
8.59071e-05;0.497136;
8.69071e-05;0.49716;
8.79071e-05;0.497185;
8.89071e-05;0.497209;
